sample_track,model_id,target_id,horizon,observation_count,origin_start,origin_end,rmse,mae,mase,mean_error
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,nominal_gdp,12,42,2010Q2,2022Q3,2.8488811882060556,2.06657093354328,0.8545247467852355,-0.4375981379232087
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,unemployment_rate,1,53,2010Q2,2025Q2,0.2412830670264309,0.17769078282523035,0.6225280028119806,0.008179809621798014
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,unemployment_rate,2,52,2010Q2,2025Q1,0.4347714730979148,0.29523505483447743,1.063212197116182,0.036270685548880126
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,unemployment_rate,4,50,2010Q2,2024Q3,0.8789223302858109,0.5926254733430393,2.1616057841371092,0.10248804574542096
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,unemployment_rate,8,46,2010Q2,2023Q3,1.9247585759236823,1.303058501194619,4.686101125848209,0.5005955566059955
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,unemployment_rate,12,42,2010Q2,2022Q3,4.008580970903734,2.0410179757823026,7.280460710113398,0.291614594542098
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,effective_federal_funds_rate,1,53,2010Q2,2025Q2,0.42140979827805736,0.2851508507001832,1.0587546289102665,-0.09404257982516495
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,effective_federal_funds_rate,2,52,2010Q2,2025Q1,0.7622781605250227,0.5173817060205899,1.8951940020808964,-0.13697066648505393
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,effective_federal_funds_rate,4,50,2010Q2,2024Q3,1.4214442285568627,0.9922589318600665,3.5905103999759262,-0.14920647001372767
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,effective_federal_funds_rate,8,46,2010Q2,2023Q3,2.5037879058428594,1.805076359030392,6.490975211464177,-0.41385487617615624
abm_pandemic_masked_common_cells,beforeit_var_p1_constant,effective_federal_funds_rate,12,42,2010Q2,2022Q3,2.905304402507611,2.324140485175082,8.507809097749254,-0.4018421277097029
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,real_gdp,1,53,2010Q2,2025Q2,2.987894855673432,2.2481429044537555,0.8875855200406748,0.569611847678313
