sample_track,model_id,benchmark_model_id,target_id,horizon,observation_count,rmse_ratio,mae_ratio,rmse_gain_percent
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,nominal_gdp,12,50,1.0241356501574108,1.0013836722207081,-2.4135650157410815
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,unemployment_rate,1,61,0.6291606916825506,0.8516435535846824,37.08393083174494
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,unemployment_rate,2,60,0.5016151290908086,0.9141154049128256,49.83848709091914
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,unemployment_rate,4,58,0.47628060403618255,0.9719774053384469,52.37193959638174
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,unemployment_rate,8,54,1.1198353618500678,1.4116818026757816,-11.983536185006782
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,unemployment_rate,12,50,0.754405285597874,1.2055986735114606,24.559471440212597
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,0.5958245581208887,0.5703167152196539,40.417544187911126
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,0.5866148091642283,0.5991575202980511,41.338519083577175
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,0.6141584016392666,0.6308412554132283,38.58415983607334
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,0.828972385974114,0.7540125525476228,17.102761402588595
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,0.8476729248382397,0.7657719169301954,15.232707516176024
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,real_gdp,1,61,1.0777218262775834,1.0209327533370833,-7.7721826277583395
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,real_gdp,2,60,1.026774696916041,0.9062846226029504,-2.677469691604095
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,real_gdp,4,58,0.9864997368943289,0.9219077306190324,1.3500263105671095
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,real_gdp,8,54,0.8578475170855361,0.862379004015231,14.215248291446391
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,real_gdp,12,50,1.0271539440831043,1.05493542591779,-2.715394408310434
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,gdp_deflator,1,61,0.8014493602149292,0.9347786388814283,19.855063978507083
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,gdp_deflator,2,60,0.7587629661847793,0.7953385649873486,24.123703381522066
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,gdp_deflator,4,58,0.8840506241688312,0.873470517888849,11.594937583116883
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,gdp_deflator,8,54,1.0925373109511287,0.9930045121938823,-9.253731095112872
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,gdp_deflator,12,50,0.979661664953014,0.9049243029162942,2.033833504698601
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,nominal_gdp,1,61,1.109866274743568,1.1727366555997663,-10.98662747435679
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,nominal_gdp,2,60,0.9920673707636121,0.9013397049959179,0.7932629236387934
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,nominal_gdp,4,58,1.0613472899819165,0.9618992720130188,-6.134728998191652
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,nominal_gdp,8,54,0.8349484758411053,0.7822807850758845,16.50515241588947
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,nominal_gdp,12,50,0.9745558095356134,0.921678567716845,2.544419046438662
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,unemployment_rate,1,61,1.4295674483486185,1.6538664635114857,-42.95674483486185
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,unemployment_rate,2,60,1.1331201544097325,1.2911472894885438,-13.312015440973246
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,unemployment_rate,4,58,1.3779039459921287,1.4568422884720043,-37.790394599212874
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,unemployment_rate,8,54,1.2541693121571404,1.2659257779869768,-25.416931215714044
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,unemployment_rate,12,50,1.6791505355230931,1.4103053167332869,-67.91505355230932
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,0.42361588963590985,0.5186424654593628,57.63841103640901
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,0.460579577511198,0.608788495939424,53.9420422488802
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,0.5439911106458951,0.6876537786172958,45.60088893541049
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,0.8375870989862302,0.9424562983014945,16.241290101376983
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,0.8982222116204954,0.9948720207533087,10.177778837950457
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,real_gdp,1,61,0.9953887965489984,0.9050641170917393,0.4611203451001633
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,real_gdp,2,60,1.0029631563915415,0.8826818384743568,-0.2963156391541544
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,real_gdp,4,58,1.1313203144526174,1.0384418337590648,-13.132031445261738
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,real_gdp,8,54,0.8546321053019413,0.8639797670907204,14.536789469805866
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,real_gdp,12,50,1.0200716596188604,1.0461276874723162,-2.007165961886037
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,gdp_deflator,1,61,0.7844212268743244,0.9016159311196781,21.557877312567562
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,gdp_deflator,2,60,0.7602489921356044,0.7808071758505816,23.97510078643956
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,gdp_deflator,4,58,0.874603416754561,0.8496984724399586,12.5396583245439
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,gdp_deflator,8,54,1.0453718955975093,0.9549710432701276,-4.5371895597509315
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,gdp_deflator,12,50,0.9422356075891392,0.8923192133931533,5.776439241086084
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,nominal_gdp,1,61,0.9688913355445131,0.9816338524212296,3.110866445548688
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,nominal_gdp,2,60,0.9656457669357654,0.9104145019336599,3.4354233064234574
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,nominal_gdp,4,58,1.1505539835348664,1.0014173099404005,-15.055398353486638
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,nominal_gdp,8,54,0.9297482059976784,0.8756128515977255,7.025179400232162
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,nominal_gdp,12,50,1.0241356501574108,1.0013836722207081,-2.4135650157410815
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,unemployment_rate,1,61,1.249118759939047,1.346049766022399,-24.911875993904697
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,unemployment_rate,2,60,1.029999271413633,1.1560087847509004,-2.999927141363301
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,unemployment_rate,4,58,1.1616327568182852,1.1753640036159412,-16.163275681828516
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,unemployment_rate,8,54,1.5684179999065961,1.4196725085744997,-56.84179999065962
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,unemployment_rate,12,50,2.108881576945209,1.6367002895432465,-110.88815769452091
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,0.40976345831890426,0.5024691540394502,59.02365416810957
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,0.452368934340657,0.597736600340383,54.76310656593431
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,0.5474788535923971,0.717312191096291,45.25211464076029
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,0.8312030127777265,0.9503584596130995,16.879698722227353
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,0.8502799038122707,0.9282119987563248,14.97200961877293
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,real_gdp,1,61,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,real_gdp,2,60,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,real_gdp,4,58,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,real_gdp,8,54,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,real_gdp,12,50,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,gdp_deflator,1,61,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,gdp_deflator,2,60,1.0,1.0,0.0
