sample_track,model_id,target_id,horizon,observation_count,mean_crps
abm_all_available_common_cells,dsge_small_nk,real_gdp,2,60,3.0551366925217067
abm_all_available_common_cells,dsge_small_nk,nominal_gdp,4,58,3.7428501961575185
abm_balanced_h12_common_cells,dsge_small_nk,effective_federal_funds_rate,2,50,0.42033861016217017
abm_balanced_h12_common_cells,dsge_small_nk,effective_federal_funds_rate,8,50,0.8019327096055977
abm_balanced_h12_common_cells,dsge_small_nk,nominal_gdp,8,50,4.221569751648883
abm_balanced_h12_common_cells,dsge_small_nk,effective_federal_funds_rate,12,50,1.0331384216111164
abm_balanced_h12_common_cells,dsge_small_nk,real_gdp,4,50,3.321161215080796
abm_balanced_h12_common_cells,dsge_small_nk,gdp_deflator,2,50,0.9292186298252062
abm_balanced_h12_common_cells,dsge_small_nk,unemployment_rate,8,50,3.009789421909811
abm_balanced_h12_common_cells,dsge_small_nk,unemployment_rate,1,50,0.6266659291477895
abm_balanced_h12_common_cells,dsge_small_nk,nominal_gdp,2,50,3.8923790939683682
abm_balanced_h12_common_cells,dsge_small_nk,gdp_deflator,4,50,1.1078038926699154
abm_balanced_h12_common_cells,dsge_small_nk,effective_federal_funds_rate,1,50,0.2656267186821659
abm_balanced_h12_common_cells,dsge_small_nk,real_gdp,1,50,3.4502627276451774
abm_balanced_h12_common_cells,dsge_small_nk,gdp_deflator,8,50,1.2477898241810768
abm_balanced_h12_common_cells,dsge_small_nk,gdp_deflator,12,50,1.3141271377151407
abm_balanced_h12_common_cells,dsge_small_nk,unemployment_rate,4,50,1.8641219488449354
abm_balanced_h12_common_cells,dsge_small_nk,unemployment_rate,2,50,1.094141036316876
abm_balanced_h12_common_cells,dsge_small_nk,nominal_gdp,1,50,3.851340940980424
abm_balanced_h12_common_cells,dsge_small_nk,gdp_deflator,1,50,0.7980975127405595
abm_balanced_h12_common_cells,dsge_small_nk,real_gdp,8,50,3.2585041790849787
abm_balanced_h12_common_cells,dsge_small_nk,nominal_gdp,12,50,4.297445758389233
abm_balanced_h12_common_cells,dsge_small_nk,unemployment_rate,12,50,3.892435984850234
abm_balanced_h12_common_cells,dsge_small_nk,real_gdp,12,50,3.2794749510113173
abm_balanced_h12_common_cells,dsge_small_nk,effective_federal_funds_rate,4,50,0.57467034535231
abm_balanced_h12_common_cells,dsge_small_nk,real_gdp,2,50,3.3481930323566758
abm_balanced_h12_common_cells,dsge_small_nk,nominal_gdp,4,50,4.047225924153614
abm_pandemic_masked_common_cells,dsge_small_nk,effective_federal_funds_rate,2,52,0.359766167648452
