sample_track,target_set,model_id,benchmark_model_id,status,cell_count,expected_cell_count,weighted_rmse_ratio,weighted_mae_ratio
abm_all_available_common_cells,labour_unemployment_rate,dsge_sw07,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.7289784301122525,0.8364392167666412
abm_all_available_common_cells,labour_unemployment_rate,dsge_sw07_median,beforeit_var_p1_constant,COMPLETE_MATCHED,5,5,0.7286333337163778,0.832951973953084
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,naive_no_change,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,1.071534004654398,1.1245609033207111
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,naive_drift,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,1.10255173636835,1.159728034058359
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,naive_historical_mean,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.8843141446871345,0.8461750730347184
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,univariate_ar_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.9184853050074173,0.8901014174010121
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,univariate_ar_p4_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.9416278375308395,0.9332512030519767
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,0.9304250043667068,0.9080240983593629
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_var_p1_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,1.0,1.0
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_var_p2_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,2.122345854417733,1.4974009449871613
abm_balanced_h12_common_cells,headline_real_gdp_gdp_deflator,beforeit_var_p3_constant,beforeit_var_p1_constant,COMPLETE_MATCHED,10,10,5.319143435436277,2.6851546912658937
