sample_track,model_id,benchmark_model_id,target_id,horizon,observation_count,rmse,mae,rmse_ratio,mae_ratio
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,gdp_deflator,12,50,2.10136444711278,1.379642755349462,0.8883447754606705,0.8401766832124854
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,nominal_gdp,1,61,10.100219866779002,4.012468337238543,0.9688913355445131,0.9816338524212296
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,nominal_gdp,2,60,8.418205641591438,3.790737360269346,0.9656457669357654,0.9104145019336599
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,nominal_gdp,4,58,8.497505757828987,3.7767276860574563,1.1505539835348664,1.0014173099404005
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,nominal_gdp,8,54,8.124923376616069,3.8426207447456315,0.9297482059976784,0.8756128515977255
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,nominal_gdp,12,50,7.93245602336929,3.9526654810563557,1.0241356501574108,1.0013836722207081
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,unemployment_rate,1,61,1.323078696356275,0.5032006918921575,0.6291606916825506,0.8516435535846824
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,unemployment_rate,2,60,1.6594531969584303,0.8598785083770063,0.5016151290908086,0.9141154049128256
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,unemployment_rate,4,58,1.9849315172703754,1.3859234406369667,0.47628060403618255,0.9719774053384469
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,unemployment_rate,8,54,2.510435978491332,2.089230419463346,1.1198353618500678,1.4116818026757816
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,unemployment_rate,12,50,2.9408328439303117,2.500153734626356,0.754405285597874,1.2055986735114606
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,0.3955055967220294,0.2127611173610828,0.5958245581208887,0.5703167152196539
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,0.7303930864684315,0.4062301762921632,0.5866148091642283,0.5991575202980511
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,1.272752060332156,0.7508102923358237,0.6141584016392666,0.6308412554132283
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,1.9724047203491208,1.3125477477044727,0.828972385974114,0.7540125525476228
abm_all_available_common_cells,univariate_ar_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,2.278897188904244,1.604173486908887,0.8476729248382397,0.7657719169301954
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,real_gdp,1,61,9.794935041741821,3.7200651669089164,1.0777218262775834,1.0209327533370833
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,real_gdp,2,60,7.5467984052729875,3.1393851866985987,1.026774696916041,0.9062846226029504
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,real_gdp,4,58,6.266629012505121,2.70304865215183,0.9864997368943289,0.9219077306190324
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,real_gdp,8,54,6.74019848069036,2.962774491990535,0.8578475170855361,0.862379004015231
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,real_gdp,12,50,6.912774752212147,3.0948652110683974,1.0271539440831043,1.05493542591779
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,gdp_deflator,1,61,1.4425176428424884,1.1100312737621667,0.8014493602149292,0.9347786388814283
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,gdp_deflator,2,60,1.6218031413109086,1.131741823381153,0.7587629661847793,0.7953385649873486
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,gdp_deflator,4,58,2.0854006411637176,1.3549476503923652,0.8840506241688312,0.873470517888849
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,gdp_deflator,8,54,2.284566138517861,1.4961486867029836,1.0925373109511287,0.9930045121938823
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,gdp_deflator,12,50,2.3173729950334097,1.485963944969872,0.979661664953014,0.9049243029162942
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,nominal_gdp,1,61,11.569814886757213,4.793608825639679,1.109866274743568,1.1727366555997663
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,nominal_gdp,2,60,8.648541135226205,3.7529521847084415,0.9920673707636121,0.9013397049959179
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,nominal_gdp,4,58,7.838662797871424,3.6276900506406156,1.0613472899819165,0.9618992720130188
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,nominal_gdp,8,54,7.296483441290225,3.4330336374842454,0.8349484758411053,0.7822807850758845
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,nominal_gdp,12,50,7.54843472177939,3.638053186112753,0.9745558095356134,0.921678567716845
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,unemployment_rate,1,61,3.0062752821639993,0.9772007845691556,1.4295674483486185,1.6538664635114857
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,unemployment_rate,2,60,3.748610745017729,1.214540089154608,1.1331201544097325,1.2911472894885438
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,unemployment_rate,4,58,5.74250756170456,2.0772827288114817,1.3779039459921287,1.4568422884720043
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,unemployment_rate,8,54,2.811584516457303,1.8735175583761654,1.2541693121571404,1.2659257779869768
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,unemployment_rate,12,50,6.545687230778066,2.9246715196892707,1.6791505355230931,1.4103053167332869
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,0.2811942759455555,0.19348363377275624,0.42361588963590985,0.5186424654593628
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,0.573466837057894,0.4127599999197031,0.460579577511198,0.608788495939424
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,1.1273407723950837,0.8184270291759668,0.5439911106458951,0.6876537786172958
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,1.9929020262872241,1.6405812973085647,0.8375870989862302,0.9424562983014945
abm_all_available_common_cells,univariate_ar_p4_constant,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,2.41479468447564,2.084102698565539,0.8982222116204954,0.9948720207533087
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,real_gdp,1,61,9.04664670024397,3.297864119656172,0.9953887965489984,0.9050641170917393
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,real_gdp,2,60,7.371783480774824,3.0576247452102137,1.0029631563915415,0.8826818384743568
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,real_gdp,4,58,7.186585500067501,3.044728562147678,1.1313203144526174,1.0384418337590648
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,real_gdp,8,54,6.714934650945641,2.9682740461143,0.8546321053019413,0.8639797670907204
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,real_gdp,12,50,6.865110779820829,3.069025939172327,1.0200716596188604,1.0461276874723162
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,gdp_deflator,1,61,1.4118689406438747,1.0706512096410743,0.7844212268743244,0.9016159311196781
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,gdp_deflator,2,60,1.62497941857077,1.111064112577368,0.7602489921356044,0.7808071758505816
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,gdp_deflator,4,58,2.063115478006406,1.3180719041979259,0.874603416754561,0.8496984724399586
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,gdp_deflator,8,54,2.1859402062536315,1.438844088504014,1.0453718955975093,0.9549710432701276
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,gdp_deflator,12,50,2.2288422933142864,1.465265298139257,0.9422356075891392,0.8923192133931533
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,nominal_gdp,1,61,10.100219866779002,4.012468337238543,0.9688913355445131,0.9816338524212296
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,nominal_gdp,2,60,8.418205641591438,3.790737360269346,0.9656457669357654,0.9104145019336599
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,nominal_gdp,4,58,8.497505757828987,3.7767276860574563,1.1505539835348664,1.0014173099404005
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,nominal_gdp,8,54,8.124923376616069,3.8426207447456315,0.9297482059976784,0.8756128515977255
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,nominal_gdp,12,50,7.93245602336929,3.9526654810563557,1.0241356501574108,1.0013836722207081
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,unemployment_rate,1,61,2.626804951966387,0.7953247232750854,1.249118759939047,1.346049766022399
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,unemployment_rate,2,60,3.407464178582979,1.0874197110780723,1.029999271413633,1.1560087847509004
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,unemployment_rate,4,58,4.84118280476339,1.6759283857272718,1.1616327568182852,1.1753640036159412
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,unemployment_rate,8,54,3.516064155871964,2.1010563322185742,1.5684179999065961,1.4196725085744997
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,unemployment_rate,12,50,8.220870563658599,3.394166260524412,2.108881576945209,1.6367002895432465
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,0.2719990958553592,0.18745005327739225,0.40976345831890426,0.5024691540394502
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,0.5632437794167708,0.40526678929401044,0.452368934340657,0.597736600340383
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,1.1345686015825067,0.8537256738864881,0.5474788535923971,0.717312191096291
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,1.9777121333718266,1.6543369887708623,0.8312030127777265,0.9503584596130995
abm_all_available_common_cells,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,2.2859058320747043,1.9444602834284053,0.8502799038122707,0.9282119987563248
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,real_gdp,1,61,9.088555880484682,3.6437905971272677,1.0,1.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,real_gdp,2,60,7.350004268648322,3.4640168313591535,1.0,1.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,real_gdp,4,58,6.352387920785006,2.9320164723391753,1.0,1.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,real_gdp,8,54,7.857105542007758,3.4355828217012196,1.0,1.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,real_gdp,12,50,6.730027949591218,2.9337010920605646,1.0,1.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,gdp_deflator,1,61,1.799886199242383,1.1874803590831393,1.0,1.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,gdp_deflator,2,60,2.137430546282033,1.4229686239333252,1.0,1.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,gdp_deflator,4,58,2.3589154106693546,1.551223106725149,1.0,1.0
