month,series_id,published_value,latest,footnote_codes
2019-03,CES0000000001,150295,false,none
2019-03,LNS14000000,3.8,false,none
2019-04,CES0000000001,150591,false,none
2019-04,LNS14000000,3.7,false,none
2019-05,CES0000000001,150618,false,none
2019-05,LNS14000000,3.6,false,none
2019-06,CES0000000001,150838,false,none
2019-06,LNS14000000,3.6,false,none
2019-07,CES0000000001,150937,false,none
2019-07,LNS14000000,3.7,false,none
2019-08,CES0000000001,151169,false,none
2019-08,LNS14000000,3.6,false,none
2019-09,CES0000000001,151365,false,none
2019-09,LNS14000000,3.5,false,none
2019-10,CES0000000001,151460,false,none
2019-10,LNS14000000,3.6,false,none
2019-11,CES0000000001,151667,false,none
2019-11,LNS14000000,3.6,false,none
2019-12,CES0000000001,151794,false,none
2019-12,LNS14000000,3.6,false,none
2020-01,CES0000000001,152031,false,none
2020-01,LNS14000000,3.6,false,none
2020-02,CES0000000001,152293,false,none
2020-02,LNS14000000,3.5,false,none
2020-03,CES0000000001,150895,false,none
2020-03,LNS14000000,4.4,false,none
2020-04,CES0000000001,130426,false,none
2020-04,LNS14000000,14.8,false,none
2020-05,CES0000000001,133040,false,none
2020-05,LNS14000000,13.2,false,none
2020-06,CES0000000001,137671,false,none
2020-06,LNS14000000,11.0,false,none
2020-07,CES0000000001,139255,false,none
2020-07,LNS14000000,10.2,false,none
2020-08,CES0000000001,140821,false,none
2020-08,LNS14000000,8.4,false,none
2020-09,CES0000000001,141770,false,none
2020-09,LNS14000000,7.8,false,none
2020-10,CES0000000001,142460,false,none
2020-10,LNS14000000,6.9,false,none
2020-11,CES0000000001,142733,false,none
2020-11,LNS14000000,6.7,false,none
2020-12,CES0000000001,142548,false,none
2020-12,LNS14000000,6.7,false,none
2021-01,CES0000000001,142863,false,none
2021-01,LNS14000000,6.4,false,none
2021-02,CES0000000001,143380,false,none
2021-02,LNS14000000,6.2,false,none
2021-03,CES0000000001,144232,false,none
2021-03,LNS14000000,6.1,false,none
2021-04,CES0000000001,144587,false,none
2021-04,LNS14000000,6.1,false,none
2021-05,CES0000000001,145065,false,none
2021-05,LNS14000000,5.8,false,none
2021-06,CES0000000001,145820,false,none
2021-06,LNS14000000,5.9,false,none
2021-07,CES0000000001,146762,false,none
2021-07,LNS14000000,5.4,false,none
2021-08,CES0000000001,147314,false,none
2021-08,LNS14000000,5.1,false,none
2021-09,CES0000000001,147771,false,none
2021-09,LNS14000000,4.7,false,none
2021-10,CES0000000001,148572,false,none
2021-10,LNS14000000,4.5,false,none
2021-11,CES0000000001,149230,false,none
2021-11,LNS14000000,4.1,false,none
2021-12,CES0000000001,149816,false,none
2021-12,LNS14000000,3.9,false,none
2022-01,CES0000000001,150006,false,none
2022-01,LNS14000000,4.0,false,none
2022-02,CES0000000001,150825,false,none
2022-02,LNS14000000,3.9,false,none
2022-03,CES0000000001,151315,false,none
2022-03,LNS14000000,3.7,false,none
2022-04,CES0000000001,151623,false,none
2022-04,LNS14000000,3.7,false,none
2022-05,CES0000000001,151924,false,none
2022-05,LNS14000000,3.6,false,none
2022-06,CES0000000001,152358,false,none
2022-06,LNS14000000,3.6,false,none
2022-07,CES0000000001,153072,false,none
2022-07,LNS14000000,3.5,false,none
2022-08,CES0000000001,153362,false,none
2022-08,LNS14000000,3.6,false,none
2022-09,CES0000000001,153582,false,none
2022-09,LNS14000000,3.5,false,none
2022-10,CES0000000001,153939,false,none
2022-10,LNS14000000,3.6,false,none
2022-11,CES0000000001,154242,false,none
2022-11,LNS14000000,3.6,false,none
2022-12,CES0000000001,154342,false,none
2022-12,LNS14000000,3.5,false,none
