variant,origin,path,quarter,utilization,capacity_index,book_capital,unemployment_rate,annualized_real_growth
headline_v3,2016Q4,2,8,0.8688898347855022,9.922745742412554e6,5.674821633600001e7,2.573932092004381,3.870119420172813
headline_v3,2016Q4,2,9,0.858647891067713,9.96160497863182e6,5.674821633600001e7,3.9430449069003286,-3.250592153302989
headline_v3,2016Q4,2,10,0.8584619534624914,1.0000616445488343e7,5.674821659645742e7,3.6144578313253013,1.5477223273904883
headline_v3,2016Q4,2,11,0.85926565612751,1.0039783473889053e7,5.67482310380044e7,3.6144578313253013,1.9048692917586152
headline_v3,2016Q4,2,12,0.8540936861814876,1.0079101050669702e7,5.67482310380044e7,4.326396495071194,-0.9347071533944984
headline_v3,2016Q4,2,13,0.8521942431851918,1.0118572935444735e7,5.674823272200817e7,4.271631982475356,0.6863737233132383
headline_v3,2016Q4,2,14,0.8494822784012173,1.015819921168049e7,5.674823345622037e7,4.381161007667032,0.23841379533493523
headline_v3,2016Q4,2,15,0.8513295450586575,1.0197982795721939e7,5.6748248297063634e7,4.216867469879518,2.4115991602187137
headline_v3,2016Q4,2,16,0.8633413204236605,1.0237929303155774e7,5.674829624309428e7,3.2311062431544357,7.165087287572192
headline_v3,2016Q4,2,17,0.8725973669037185,1.0278139862584865e7,5.6749014286663726e7,2.245345016429354,5.747426774949105
headline_v3,2016Q4,2,18,0.8777110537828401,1.031848738274967e7,5.674954442084192e7,1.8072289156626506,3.8164341962648507
headline_v3,2016Q4,2,19,0.8819347237992953,1.0359074897436813e7,5.675037938830067e7,1.3691128148959475,3.5272720202534913
headline_v3,2016Q4,2,20,0.893854504364335,1.0400003791255988e7,5.675216987444785e7,0.0,6.958966240276965
headline_v3,2016Q4,2,21,0.8916972248823473,1.0440931038104957e7,5.675311735447277e7,0.547645125958379,0.44828807065684373
headline_v3,2016Q4,2,22,0.8917681626302629,1.0482283939675752e7,5.675551168571943e7,0.32858707557502737,1.6231692532642228
headline_v3,2016Q4,2,23,0.8968251461700563,1.052407902725682e7,5.675794716040899e7,0.0,3.7108951323013173
headline_v3,2016Q4,2,24,0.8981717726834959,1.0565717509922177e7,5.675963240455306e7,0.0,2.0554742224263123
headline_v3,2016Q4,3,0,0.85,9.617279568509158e6,5.6748216335999995e7,3.723986856516977,NaN
headline_v3,2016Q4,3,1,0.8529763381370472,9.654942544890992e6,5.6748216335999995e7,3.6144578313253013,2.9609632733240687
headline_v3,2016Q4,3,2,0.8556870326453663,9.692753153619874e6,5.674821900273232e7,3.5596933187294635,2.842306297655739
headline_v3,2016Q4,3,3,0.8558847739127626,9.730711697977375e6,5.674821900273232e7,3.6144578313253013,1.602979513074132
headline_v3,2016Q4,3,4,0.852247630203011,9.768818894742185e6,5.674821900273232e7,3.723986856516977,-0.10465602853884093
headline_v3,2016Q4,3,5,0.8480899833762083,9.807075326063555e6,5.674821900273232e7,3.833515881708653,-0.36135502080512083
headline_v3,2016Q4,3,6,0.8436910569459076,9.84548157637054e6,5.674821900273232e7,4.052573932092004,-0.527417784474693
headline_v3,2016Q4,3,7,0.838301335455819,9.884038232380917e6,5.674821900273232e7,4.326396495071194,-0.8662648854539157
headline_v3,2016Q4,3,8,0.840395357099168,9.922745883110158e6,5.674821900273232e7,4.216867469879518,2.567499629113712
headline_v3,2016Q4,3,9,0.8436897911688804,9.961605211048875e6,5.674822072396605e7,4.052573932092004,3.0332285225433964
headline_v3,2016Q4,3,10,0.8504860224584614,1.0000617530645758e7,5.6748226391681924e7,3.9430449069003286,4.683343015642549
headline_v3,2016Q4,3,11,0.8484580178932178,1.0039781726630433e7,5.6748226391681924e7,4.216867469879518,0.5443710462472495
headline_v3,2016Q4,3,12,0.8517452135172854,1.0079099692552641e7,5.6748229781291604e7,4.052573932092004,3.0915172704546023
headline_v3,2016Q4,3,13,0.8549513349394536,1.0118572199759532e7,5.674823516650589e7,4.052573932092004,2.977760456010259
headline_v3,2016Q4,3,14,0.8461181220795435,1.015819918736442e7,5.6748239494598135e7,4.709748083242059,-2.658813032454077
headline_v3,2016Q4,3,15,0.8508314389757675,1.0197980905947777e7,5.674824270381246e7,4.326396495071194,3.859812176504107
headline_v3,2016Q4,3,16,0.8498371989451531,1.0237919110601967e7,5.674824816059908e7,4.435925520262869,1.0354973583048377
headline_v3,2016Q4,3,17,0.8614300701614122,1.027801519130876e7,5.674826310865001e7,3.340635268346112,7.040273104640704
headline_v3,2016Q4,3,18,0.8610175746473331,1.0318269297964603e7,5.674828303373334e7,3.5049288061336252,1.2153356878265242
headline_v3,2016Q4,3,19,0.8664562634875577,1.0358696172688864e7,5.6748376044449955e7,3.0120481927710845,4.054597551314032
headline_v3,2016Q4,3,20,0.8714522121070721,1.0399266234405883e7,5.6748396602439374e7,2.5191675794085433,3.7462152487918843
headline_v3,2016Q4,3,21,0.8752245928525085,1.0440075522686817e7,5.67490409869867e7,2.026286966046002,3.15527206072872
headline_v3,2016Q4,3,22,0.8822683051469543,1.0481279114891835e7,5.675078613253057e7,1.588170865279299,4.784263441095504
headline_v3,2016Q4,3,23,0.8859468062642936,1.052260883547607e7,5.675219364596941e7,1.2048192771084338,3.151703427023733
headline_v3,2016Q4,3,24,0.888307786890658,1.0564280863654299e7,5.6754617124817304e7,0.8214676889375685,2.5994809651045614
headline_v3,2016Q4,4,0,0.85,9.617279568509158e6,5.6748216336e7,3.723986856516977,NaN
headline_v3,2016Q4,4,1,0.8567384809379861,9.654942544890992e6,5.6748216336e7,3.5049288061336252,4.716682252437465
headline_v3,2016Q4,4,2,0.8565084487034839,9.692753016183406e6,5.6748216336e7,3.5049288061336252,1.4154195773741662
headline_v3,2016Q4,4,3,0.8593138992160613,9.73071156000268e6,5.6748216336e7,3.4501642935377874,2.781713234191585
headline_v3,2016Q4,4,4,0.8621819286644691,9.768818756227158e6,5.6748216336e7,3.176341730558598,2.8861775181233895
headline_v3,2016Q4,4,5,0.8567757956612628,9.807075187006079e6,5.6748216336e7,3.888280394304491,-0.962402613270541
headline_v3,2016Q4,4,6,0.8564704226134486,9.84548143676849e6,5.6748216336e7,3.723986856516977,1.499459037317763
headline_v3,2016Q4,4,7,0.8528365829368317,9.88403809223216e6,5.6748216336e7,4.052573932092004,-0.2198647259547215
headline_v3,2016Q4,4,8,0.8584538516565798,9.922745742412552e6,5.6748216336e7,3.833515881708653,4.116370832045391
headline_v3,2016Q4,4,9,0.8622009276842869,9.96160497863182e6,5.6748216336e7,3.2311062431544357,3.2718331283405178
headline_v3,2016Q4,4,10,0.8574671210548306,1.000061639452784e7,5.6748216336e7,3.888280394304491,-0.6847016948178464
headline_v3,2016Q4,4,11,0.8654129603790919,1.0039784825599965e7,5.67482295368848e7,3.0120481927710845,5.17236027382495
headline_v3,2016Q4,4,12,0.8656370127035501,1.0079103808516666e7,5.6748236728086144e7,3.12157721796276,1.543661053196388
headline_v3,2016Q4,4,13,0.8651790245984061,1.0118575402633581e7,5.67482369562764e7,3.176341730558598,1.2874949236596933
headline_v3,2016Q4,4,14,0.8667231048683569,1.0158210595730176e7,5.6748278220318414e7,2.8477546549835706,2.2707484903044417
headline_v3,2016Q4,4,15,0.8641741371864319,1.019799396882052e7,5.674833036418386e7,3.12157721796276,0.37668349041339866
headline_v3,2016Q4,4,16,0.8764621696270817,1.023795554085755e7,5.6748415915318325e7,2.026286966046002,7.285178286132776
headline_v3,2016Q4,4,17,0.8825232697652935,1.0278100466159478e7,5.6748639179701604e7,1.3143483023001095,4.187704671515746
headline_v3,2016Q4,4,18,0.8916758128223544,1.0318755464747712e7,5.675110529858131e7,0.2738225629791895,5.619485328054452
headline_v3,2016Q4,4,19,0.8987707756291596,1.035972886774339e7,5.675373198681389e7,0.0,4.712050820256053
headline_v3,2016Q4,4,20,0.9002821230206624,1.0400615261026053e7,5.675565850601591e7,0.0,2.086322348485936
headline_v3,2016Q4,4,21,0.9073972401265612,1.0442130286392368e7,5.67585803816615e7,0.0,4.895132484676168
headline_v3,2016Q4,4,22,0.9105431189993121,1.0484088278470282e7,5.676213075613887e7,0.0,2.7459399693583464
headline_v3,2016Q4,4,23,0.9107966927842206,1.0525491208094094e7,5.676349953516975e7,0.0,1.6442130892507123
headline_v3,2016Q4,4,24,0.9107528143283029,1.0567942018825483e7,5.676802023039642e7,0.0,1.4812304074169447
headline_v3,2016Q4,5,0,0.8499999999999999,9.617279568509158e6,5.6748216335999995e7,3.723986856516977,NaN
