sample_track,target_set,challenger,comparator,observation_count,mean_differential,adjusted_p_value,rejected_at_5pct
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,univariate_ar_p1_constant,50,4.634520638121554,0.956,false
abm_balanced_h12_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,univariate_ar_p4_constant,50,-11.855527360153987,0.4282,false
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,beforeit_var_p1_constant,31,-2.1045766284232905,0.0776,false
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,beforeit_var_p2_constant,31,-3.6050746415638275,0.0722,false
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,beforeit_var_p3_constant,31,-10.840771727335015,0.0722,false
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,31,-0.4575412955301096,0.0316,true
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_small_nk,31,-4.852032086197154,0.0098,true
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_small_nk_median,31,-4.818840495019895,0.0098,true
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_sw07,31,-2.7438007034882625,0.0002,true
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,dsge_sw07_median,31,-2.749193457171888,0.0002,true
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,naive_drift,31,-3.4428871243336916,0.0098,true
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,naive_historical_mean,31,-0.44733484970029136,0.108,false
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,naive_no_change,31,-2.9849951727363453,0.0098,true
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,31,-0.4715169283207315,0.0776,false
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,univariate_ar_p1_constant,31,-0.17800747932335664,0.108,false
abm_pandemic_masked_common_cells,headline_real_gdp_gdp_deflator,beforeit_abm_us_v3_mean,univariate_ar_p4_constant,31,-0.5494225753450798,0.0866,false
