DATAFLOW,FREQ,REF_AREA,TRANSACTION,ACTIVITY,PRODUCT,UNIT_MEASURE,VALUATION,PRICE_BASE,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,COUNTERPART_AREA,SECTOR,ACCOUNTING_ENTRY,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,G46,CPA08_A,XDC,O,V,T1600,2024,1174.14,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,G45,CPA08_A,XDC,O,V,T1600,2024,410.14,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,G,CPA08_A,XDC,O,V,T1600,2024,3719.33,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,F42,CPA08_A,XDC,O,V,T1600,2024,188.73,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,F41,CPA08_A,XDC,O,V,T1600,2024,3304.3,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,F,CPA08_A,XDC,O,V,T1600,2024,3493.03,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C32,CPA08_A,XDC,O,V,T1600,2024,464.52,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C31,CPA08_A,XDC,O,V,T1600,2024,136.95,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C31_32,CPA08_A,XDC,O,V,T1600,2024,601.47,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C23,CPA08_A,XDC,O,V,T1600,2024,0.77,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C22,CPA08_A,XDC,O,V,T1600,2024,2313.33,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C21,CPA08_A,XDC,O,V,T1600,2024,2.12,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C20,CPA08_A,XDC,O,V,T1600,2024,16824.48,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C18,CPA08_A,XDC,O,V,T1600,2024,36.55,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C17,CPA08_A,XDC,O,V,T1600,2024,4921.7,D,S1,D,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASU@DF_USEPP(2.0),A,USA,P2,C16,CPA08_A,XDC,O,V,T1600,2024,23737.52,D,S1,D,F,2,A,6,USD
