sample_track,model_id,target_id,horizon,observation_count,rmse,mae
abm_all_available_common_cells,beforeit_var_p3_constant,gdp_deflator,8,54,19.273909256703764,5.485888936466707
abm_all_available_common_cells,beforeit_var_p3_constant,gdp_deflator,12,50,55.59187896452723,12.034442144502725
abm_all_available_common_cells,beforeit_var_p3_constant,nominal_gdp,1,61,9.139986353970475,5.120788625107634
abm_all_available_common_cells,beforeit_var_p3_constant,nominal_gdp,2,60,13.626435993907993,6.837831428233885
abm_all_available_common_cells,beforeit_var_p3_constant,nominal_gdp,4,58,16.256190801066698,6.956768124250894
abm_all_available_common_cells,beforeit_var_p3_constant,nominal_gdp,8,54,45.905794320034,13.500074876223675
abm_all_available_common_cells,beforeit_var_p3_constant,nominal_gdp,12,50,331.30680602976605,53.02940850376831
abm_all_available_common_cells,beforeit_var_p3_constant,unemployment_rate,1,61,1.7314807412474964,0.6921116182936955
abm_all_available_common_cells,beforeit_var_p3_constant,unemployment_rate,2,60,3.374841152110994,1.3224984141923017
abm_all_available_common_cells,beforeit_var_p3_constant,unemployment_rate,4,58,3.071265011065615,1.816030143312018
abm_all_available_common_cells,beforeit_var_p3_constant,unemployment_rate,8,54,17.982432620062507,5.220929364860164
abm_all_available_common_cells,beforeit_var_p3_constant,unemployment_rate,12,50,68.56526663667157,15.527040432950033
abm_all_available_common_cells,beforeit_var_p3_constant,effective_federal_funds_rate,1,61,0.4371604406258969,0.31797772044869566
abm_all_available_common_cells,beforeit_var_p3_constant,effective_federal_funds_rate,2,60,0.8580013089509686,0.5943512862462322
abm_all_available_common_cells,beforeit_var_p3_constant,effective_federal_funds_rate,4,58,1.6252783099310713,1.1506286318899819
abm_all_available_common_cells,beforeit_var_p3_constant,effective_federal_funds_rate,8,54,3.4687341506882516,2.3698916590371675
abm_all_available_common_cells,beforeit_var_p3_constant,effective_federal_funds_rate,12,50,4.877518164959629,3.0730825405738034
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,real_gdp,1,61,7.917596768941776,3.2298486337724372
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,real_gdp,2,60,6.443099216543576,2.946619570627845
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,real_gdp,4,58,6.2002800535315865,2.701142591785878
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,real_gdp,8,54,6.4590412267624915,2.8191708629123857
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,real_gdp,12,50,6.647200801353926,2.77910671402347
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,gdp_deflator,1,61,1.6882412140842218,1.1709539495654642
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,gdp_deflator,2,60,1.9046196499835988,1.2803327265754483
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,gdp_deflator,4,58,2.053605103105653,1.3083897746536308
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,gdp_deflator,8,54,2.0762519110301776,1.3556123458219378
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,gdp_deflator,12,50,2.150312237765924,1.4179676308770082
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,nominal_gdp,1,61,9.063089198084453,3.637768245691122
abm_all_available_common_cells,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,nominal_gdp,2,60,7.399908240542424,3.5308129311710332
