origin_index,parameter,mode_value
91,tau,2.682355177150442
91,kappa,0.10375168518893847
91,psi1,1.374464734101863
91,psi2,0.2829856923568759
91,r_annual,1.3450168251071013e-7
91,pi_star,0.9481429452169459
91,gamma_quarterly,-0.04636778208294602
91,rho_rate,0.9087195565763092
91,rho_g,0.9773678594964958
91,rho_z,0.9287815557901193
91,sigma_rate,0.13461434258116914
91,sigma_g,1.1844614395707942
91,sigma_z,0.2607155489454361
92,tau,2.680037789555458
92,kappa,0.10584092642233743
92,psi1,1.3878158421299125
92,psi2,0.2944053734848945
92,r_annual,1.549867902109439e-7
92,pi_star,0.9354909987716729
92,gamma_quarterly,-0.037166326672340405
92,rho_rate,0.9103242154183286
92,rho_g,0.9770024909733092
92,rho_z,0.9286629424308065
92,sigma_rate,0.13516639999416158
92,sigma_g,1.1791422244195127
92,sigma_z,0.2606840226694492
93,tau,2.703964263182691
93,kappa,0.104671043500755
93,psi1,1.396330171477088
93,psi2,0.30381032400540525
93,r_annual,1.3411715353948075e-7
93,pi_star,0.9472035552043611
93,gamma_quarterly,-0.027057273089312953
93,rho_rate,0.9116544880874586
93,rho_g,0.977481088171134
93,rho_z,0.9311438056863232
93,sigma_rate,0.13476513607914073
93,sigma_g,1.1746546054250935
93,sigma_z,0.25767970226041015
94,tau,2.703892689483689
94,kappa,0.10736840104182692
94,psi1,1.4034528237716402
94,psi2,0.31033934768829
94,r_annual,2.5672136735900943e-7
94,pi_star,0.930116994579362
94,gamma_quarterly,-0.026711466649214997
94,rho_rate,0.9125232920887105
94,rho_g,0.9770844869262212
94,rho_z,0.9302358573461985
94,sigma_rate,0.13438781544331246
94,sigma_g,1.1706170272127385
94,sigma_z,0.2588651306466886
95,tau,2.7225205300645667
95,kappa,0.10873933226232041
95,psi1,1.4116252593479885
95,psi2,0.32115402915204516
95,r_annual,1.759971144903595e-7
95,pi_star,0.973286775761993
95,gamma_quarterly,-0.018712189554733603
95,rho_rate,0.9129410771511619
95,rho_g,0.9784731283904285
95,rho_z,0.9327117607070752
95,sigma_rate,0.1337877159420923
95,sigma_g,1.179144524861288
95,sigma_z,0.2522960852194859
96,tau,2.7300606015311897
96,kappa,0.10870359969124019
96,psi1,1.4143199890703921
96,psi2,0.3237586206622198
96,r_annual,4.5816132482820293e-7
96,pi_star,0.9689540481494837
96,gamma_quarterly,-0.01875074244388864
96,rho_rate,0.9133969493353293
96,rho_g,0.978391508161189
96,rho_z,0.9328209897902016
96,sigma_rate,0.13312634729966671
96,sigma_g,1.1731277116337362
96,sigma_z,0.2517014760041051
97,tau,2.737392041523631
97,kappa,0.10909873803201697
97,psi1,1.4173617863097474
97,psi2,0.32671580507982884
97,r_annual,7.136036211894567e-7
97,pi_star,0.957274293778051
97,gamma_quarterly,-0.018315002090075836
97,rho_rate,0.9140434222937704
97,rho_g,0.9780329654419562
97,rho_z,0.9327379147253348
97,sigma_rate,0.13252463095666506
97,sigma_g,1.1672589205346415
97,sigma_z,0.2515462071478082
98,tau,2.734260010376148
98,kappa,0.11049754105201211
98,psi1,1.41306898431694
98,psi2,0.3233957200173419
98,r_annual,1.0839823330384592e-6
98,pi_star,0.9815910854853851
98,gamma_quarterly,-0.024425481413569525
98,rho_rate,0.9124917721237895
98,rho_g,0.9790002770614125
98,rho_z,0.9322624041271727
98,sigma_rate,0.13242152569505217
98,sigma_g,1.165442166823922
98,sigma_z,0.24903739583600693
99,tau,2.728540172135972
99,kappa,0.11299344796342477
99,psi1,1.415534106882051
99,psi2,0.3274054223647866
99,r_annual,7.103609602273463e-7
99,pi_star,1.0391010638643303
99,gamma_quarterly,-0.02408514694718313
99,rho_rate,0.9118836721414559
99,rho_g,0.9808840128054415
99,rho_z,0.9330927472312214
99,sigma_rate,0.13209686718074407
99,sigma_g,1.1753447263718
99,sigma_z,0.24318654554402955
100,tau,2.7388644911141085
100,kappa,0.11536062661774307
100,psi1,1.415679366759857
100,psi2,0.3278126777128881
100,r_annual,2.3305386015347693e-6
100,pi_star,1.0134271639545023
100,gamma_quarterly,-0.02914427506449075
100,rho_rate,0.9116853739340485
100,rho_g,0.9801996394997775
100,rho_z,0.9318909472205641
100,sigma_rate,0.13149940354622908
100,sigma_g,1.1715859918820188
100,sigma_z,0.24453526055600883
